campo,instruccion,herramienta_a,herramienta_b,notas_y_evidencia
fecha_de_prueba,Usa la misma fecha para todas las opciones,,,
tarea_y_resultado_esperado,Describe una tarea real y cómo sabrás que está bien,,,
datos_de_prueba,Usa información ficticia o autorizada y conserva la misma muestra,,,
precision_0_a_4,0 falla de forma crítica; 4 cumple sin errores relevantes,,,
ajuste_a_la_tarea_0_a_4,0 no resuelve; 4 resuelve el flujo completo,,,
tiempo_de_revision_0_a_4,0 exige rehacer; 4 requiere cambios mínimos,,,
privacidad_y_control_0_a_4,0 sin información suficiente; 4 controles adecuados y documentados,,,
facilidad_de_uso_0_a_4,0 bloquea al equipo; 4 uso claro y consistente,,,
integracion_0_a_4,0 flujo manual inviable; 4 encaja con las herramientas actuales,,,
costo_total_0_a_4,0 costo injustificable; 4 costo sostenible para el valor obtenido,,,
fallo_eliminatorio,Anota filtración de datos errores graves acciones no autorizadas o falta de control,,,
fuente_primaria,Enlaza documentación de privacidad seguridad precio y funciones,,,
decision,APROBAR PILOTO / CORREGIR Y REPETIR / DESCARTAR,,,
responsable_y_fecha_de_revision,Define quién decide y cuándo vuelve a comprobarse,,,
